"Slno","SectionNo","Type","Title"
"497","439","IPC","Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc"
"498","440","IPC","Mischief committed after preparation made for causing death or hurt"
"499","441","IPC","Criminal trespass"
"500","442","IPC","House trespass"
"501","443","IPC","Lurking house-trespass"
"502","444","IPC","Lurking house-trespass by night"
"503","445","IPC","House breaking"
"504","446","IPC","House-breaking by night"
"505","447","IPC","Punishment for criminal trespass"
"506","448","IPC","Punishment for house-trespass"
"507","449","IPC","House-trespass in order to commit offence punishable with death"
"508","450","IPC","House-trespass in order to commit offence punishable with imprisonment for life"
"509","451","IPC","House-trespass in order to commit offence punishable with imprisonment"
"510","452","IPC","House-trespass after preparation for hurt, assault or wrongful restraint"
"511","453","IPC","Punishment for lurking house-trespass or house-breaking"
"512","454","IPC","Lurking house-trespass or house-breaking in order to commit offence punishable with imprisonment"
"513","455","IPC","Lurking house-trespass or house-breaking after preparation for hurt, assault or wrongful restraint"
"514","456","IPC","Punishment for lurking house-trespass or house-breaking by night"
"515","457","IPC","Lurking house-trespass or house-breaking by night in order to commit offence punishable with imprisonment"
"516","458","IPC","Lurking house-trespass or house-breaking by night after preparation for hurt, assault, or wrongful restraint"
"517","459","IPC","Grievous hurt caused whilst committing lurking house trespass or housebreaking"
"518","460","IPC","All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them"
"519","461","IPC","Dishonestly breaking open receptacle containing property"
"520","462","IPC","Punishment for same offence when committed by person entrusted with custody"
"521","463","IPC","Forgery"
"522","464","IPC","Making a false document"
"523","465","IPC","Punishment for forgery"
"524","466","IPC","Forgery of record of court or of public register, etc"
"525","467","IPC","Forgery of valuable security, will, etc"
"526","468","IPC","Forgery for purpose of cheating"
"527","469","IPC","Forgery for purpose of harming reputation"
"528","470","IPC","Forged document"
"529","471","IPC","Using as genuine a forged document"
"530","472","IPC","Making or possessing counterfeit seal, etc., with intent to commit forgery punishable under section 467"
"531","473","IPC","Making or possessing counterfeit seal, etc., with intent to commit forgery punishable otherwise"
"532","474","IPC","Having possession of document described in section 466 or 467, knowing it to be forged and intending to use it as genuine"
"533","475","IPC","Counterfeiting device or mark used for authenticating documents described in section 467, or possessing counterfeit marked material"
"534","476","IPC","Counterfeiting device or mark used for authenticating documents other than those described in section 467, or possessing counterfeit marked material"
"535","477","IPC","Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security"
"536","477A ","IPC","Falsification of accounts"
"537","478","IPC","[Trade marks Repealed by the Trade and Merchandise Marks Act, 1958, w.e.f. 25th. November, 1959] "
"538","479","IPC","Property mark"
"539","480","IPC","Using a false trade mark: Repealed by the Trade and Merchandise Marks Act, 1958, w.e.f. 25th. November, 1959"
"540","481","IPC","Using a false property mark"
"541","482","IPC","Punishment for using a false property mark"
"542","483","IPC","Counterfeiting a property mark used by another"
"543","484","IPC","Counterfeiting a mark used by a public servant"
"544","485","IPC","Making or possession of any instrument for counterfeiting a property mark"
"545","486","IPC","Selling goods marked with a counterfeit property mark"
"546","487","IPC","Making a false mark upon any receptacle containing goods"
"547","488","IPC","Punishment for making use of any such false mark"
"548","489","IPC","Tampering with property mark with intent to cause injury"
"549","489A ","IPC","Counterfeiting currency-notes or bank-notes"
"550","489B ","IPC","Using as genuine, forged or counterfeit currency-notes or bank- notes"
"551","489C ","IPC","Possession of forged or counterfeit currency-notes or bank-notes"
"552","489D ","IPC","Making or possessing instruments or materials for forging or counterfeiting currency-notes or bank-notes"
"553","489E ","IPC","Making or using documents resembling currency-notes or bank-notes"
"554","490","IPC","[Breach of contract of service during voyage or journey: Repealed by the Workmen's Breach of Contract (Repealing) Act, 1925]"
"555","491","IPC","Breach of contract to attend on and supply wants of helpless person"
"556","492","IPC","[Breach of contract to serve at distant place to which servant is conveyed at master's expense: Repealed by the Workmen's Breach of Contract (Repealing) Act, 1925 (3 of 1925)]"
"557","493","IPC","Cohabitation caused by a man deceitfully inducing a belief of lawful marriage"
"558","494","IPC","Marrying again during lifetime of husband or wife"
"559","495","IPC","Same offence with concealment of former marriage from person with whom subsequent marriage is contracted"
"560","496","IPC","Marriage ceremony fraudulently gone through without lawful marriage"
"561","497","IPC","Adultery"
"562","498","IPC","Enticing or taking away or detaining with criminal intent a married woman"
"563","498A ","IPC","Husband or relative of husband of a woman subjecting her to cruelty"
"564","499","IPC","Defamation"
"565","500","IPC","Punishment for defamation"
"566","501","IPC","Printing or engraving matter known to be defamatory"
"567","502","IPC","Sale of printed or engraved substance containing defamatory matter"
"568","503","IPC","Criminal intimidation"
"569","504","IPC","Intentional insult with intent to provoke breach of the peace"
"570","505","IPC","Statements conducting to public mischief."
"571","506","IPC","Punishment for criminal intimidation"
"572","507","IPC","Criminal intimidation by an anonymous communication"
"573","508","IPC","Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure"
"574","509","IPC","Word, gesture or act intended to insult the modesty of a woman"
"575","510","IPC","Misconduct in public by a drunken person"
"576","511","IPC","Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment Foot Notes"
"577","1","CrPC","Short title, extent and commencement"
"578","2","CrPC","Definitions"
"579","3","CrPC","Construction of references"
"580","4","CrPC","Trial of offences under the Indian Penal Code and other laws"
"581","5","CrPC","Saving"
"582","6","CrPC","Classes of Criminal Courts"
"583","7","CrPC","Territorial divisions"
"584","8","CrPC","Metropolitan areas"
"585","9","CrPC","Court of Session"
"586","10","CrPC","Subordination of Assistant Sessions Judges"
"587","11","CrPC","Courts of Judicial Magistrates"
"588","12","CrPC","Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc."
"589","13","CrPC","Special Judicial Magistrates"
"590","14","CrPC","Local Jurisdiction of Judicial Magistrates"
"591","15","CrPC","Subordination of Judicial Magistrates"
"592","16","CrPC","Courts of Metropolitan Magistrates"
"593","17","CrPC","Chief Metropolitan Magistrate and Additional Chief Metropolitan Magistrate"
"594","18","CrPC","Special Metropolitan Magistrates"
"595","19","CrPC","Subordination of Metropolitan Magistrates"
"596","20","CrPC","Executive Magistrates"
"597","21","CrPC","Special Executive Magistrates"
"598","22","CrPC","Local Jurisdiction of Executive Magistrates"
"599","23","CrPC","Subordination of Executive Magistrates"
"600","24","CrPC","Public Prosecutors"
"601","25","CrPC","Assistant Public Prosecutors"
"602","25A ","CrPC","Directorate of Prosecution"
"603","26","CrPC","Courts by which offences are triable"
"604","27","CrPC","Jurisdiction in the case of juveniles"
"605","28","CrPC","Sentences which High Courts and Sessions Judges may pass"
"606","29","CrPC","Sentences which Magistrates may pass"
"607","30","CrPC","Sentence of imprisonment in default of fine"
"608","31","CrPC","Sentence in cases of conviction of several offences at one trial"
"609","32","CrPC","Mode of conferring powers"
"610","33","CrPC","Powers of officers appointed"
"611","34","CrPC","Withdrawal of powers"
"612","35","CrPC","Powers of Judges and Magistrates exercisable by their successors-in-office"
"613","36","CrPC","Powers of superior officers of police"
"614","37","CrPC","Public when to assist Magistrates and police"
"615","38","CrPC","Aid to person other than police officer, executing warrant"
"616","39","CrPC","Public to give information of certain offences"
"617","40","CrPC","Duty of officers employed in connection with the affairs of a village to make certain report"
"618","41","CrPC","When police may arrest without warrant"
"619","42","CrPC","Arrest on refusal to give name and residence"
"620","43","CrPC","Arrest by private person and procedure on such arrest"
"621","44","CrPC","Arrest by Magistrate"
"622","45","CrPC","Protection of members of the Armed Forces from arrest"
"623","46","CrPC","Arrest how made"
"624","47","CrPC","Search of place entered by person sought to be arrested"
"625","48","CrPC","Pursuit of offenders into other jurisdictions"
"626","49","CrPC","No unnecessary restraint"
"627","50","CrPC","Person arrested to be informed of grounds of arrest and of right to bail"
"628","50A ","CrPC","Obligation of person making arrest to inform about the arrest etc., to a nominated person"
"629","51","CrPC","Search of arrested persons"
"630","52","CrPC","Power to seize offensive weapons"
"631","53","CrPC","Examination of accused by medical practitioner at the request of police officer"
"632","53A ","CrPC","Examination of person accused of rape by medical practitioner"
"633","54","CrPC","Examination of arrested person by medical practitioner at the request of the arrested person"
"634","54A ","CrPC","Identification of person arrested"
"635","55","CrPC","Procedure when police officer deputes subordinate to arrest without warrant"
"636","56","CrPC","Person arrested to be taken before Magistrate or officer in charge of police station"
"637","57","CrPC","Person arrested not to be detained more than twenty-four hours"
"638","58","CrPC","Police to report apprehensions"
"639","59","CrPC","Discharge of person apprehended"
"640","60","CrPC","Powers, on escape, to pursue and re-take"
"641","61","CrPC","Form of summons"
"642","62","CrPC","Summons how served"
"643","63","CrPC","Service of summons on corporate bodies and societies"
"644","64","CrPC","Service when persons summoned cannot be found"
"645","65","CrPC","Procedure when service cannot be effected as before provided"
"646","66","CrPC","Service on Government servant"
"647","67","CrPC","Service of summons outside local limits"
"648","68","CrPC","Proof of service in such cases and when serving officer not present"
"649","69","CrPC","Service of summons on witness by post"
"650","70","CrPC","Form of warrant of arrest and duration"
"651","71","CrPC","Power to direct security to be taken"
"652","72","CrPC","Warrants to whom directed"
"653","73","CrPC","Warrant may be directed to any person"
"654","74","CrPC","Warrant directed to police officer"
"655","75","CrPC","Notification of substance of warrant"
"656","76","CrPC","Person arrested to be brought before Court without delay"
"657","77","CrPC","Where warrant may be executed"
"658","78","CrPC","Warrant forwarded for execution outside jurisdiction"
"659","79","CrPC","Warrant directed to police officer for execution outside jurisdiction"
"660","80","CrPC","Procedure of arrest of person against whom warrant issued"
"661","81","CrPC","Procedure by Magistrate before whom such person arrested is brought"
"662","82","CrPC","Proclamation for person absconding"
"663","83","CrPC","Attachment of property of person absconding"
"664","84","CrPC","Claims and objections to attachment"
"665","85","CrPC","Release, sale and restoration of attached property"
"666","86","CrPC","Appeal from order rejecting application for restoration of attached property"
"667","87","CrPC","Issue of warrant in lieu of, or in addition to, summons"
"668","88","CrPC","Power to take bond for appearance"
"669","89","CrPC","Arrest on breach of bond for appearance"
"670","90","CrPC","Provisions of this Chapter generally applicable to summons and warrants of arrest"
"671","91","CrPC","Summons to produce document or other thing"
"672","92","CrPC","Procedure as to letters and telegrams"
"673","93","CrPC","When search-warrant may be issued"
"674","94","CrPC","Search of place suspected to contain stolen property, forged documents, etc."
"675","95","CrPC","Power to declare certain publications forfeited and to issue search-warrants for the same"
"676","96","CrPC","Application to High Court to set aside declaration of forfeiture"
"677","97","CrPC","Search for persons wrongfully confined"
"678","98","CrPC","Power to compel restoration of abducted females"
"679","99","CrPC","Direction, etc., of search-warrants"
"680","100","CrPC","Persons in charge of closed place to allow search"
"681","101","CrPC","Disposal of things found in search beyond jurisdiction"
"682","102","CrPC","Power of police officer to seize certain property"
"683","103","CrPC","Magistrate may direct search in his presence"
"684","104","CrPC","Power to impound document, etc., produced"
"685","105","CrPC","Reciprocal arrangements regarding processes"
"686","105A ","CrPC","Definitions"
"687","105B ","CrPC","Assistance in securing transfer of persons"
"688","105C ","CrPC","Assistance in relation to orders of attachment or forfeiture of property"
"689","105D ","CrPC","Identifying unlawfully acquired property"
"690","105E ","CrPC","Seizure or attachment of property"
"691","105F ","CrPC","Management of properties seized or forfeited under this Chapter"
"692","105G ","CrPC","Notice of forfeiture of property"
"693","105H ","CrPC","Forfeiture of property in certain cases"
"694","105I ","CrPC","Fine in lieu of forfeiture"
"695","105J ","CrPC","Certain transfers to be null and void"
"696","105K ","CrPC","Procedure in respect of letter of request"
"697","105L ","CrPC","Application of this Chapter"
"698","106","CrPC","Security for keeping the peace on conviction"
"699","107","CrPC","Security for keeping the peace in other cases"
"700","108","CrPC","Security for good behaviour from persons disseminating seditious matters"
"701","109","CrPC","Security for good behaviour from suspected persons"
"702","110","CrPC","Security for good behaviour from habitual offenders"
"703","111","CrPC","Order to be made"
"704","112","CrPC","Procedure in respect of person present in Court"
"705","113","CrPC","Summons or warrant in case of person not so present"
"706","114","CrPC","Copy of order to accompany summons or warrant"
"707","115","CrPC","Power to dispense with personal attendance"
"708","116","CrPC","Inquiry as to truth of information"
"709","117","CrPC","Order to give security"
"710","118","CrPC","Discharge of person informed against"
"711","119","CrPC","Commencement of period for which security is required"
"712","120","CrPC","Contents of bond"
"713","121","CrPC","Power to reject sureties"
"714","122","CrPC","Imprisonment in default of security"
"715","123","CrPC","Power to release persons imprisoned for failing to give security"
"716","124","CrPC","Security for unexpired period of bond"
"717","125","CrPC","Order for maintenance of wives, children and parents"
"718","126","CrPC","Procedure"
"719","127","CrPC","Alteration in allowance"
"720","128","CrPC","Enforcement of order of maintenance"
"721","129","CrPC","Dispersal of assembly by use of civil force"
"722","130","CrPC","Use of armed forces to disperse assembly"
"723","131","CrPC","Power of certain armed force officers to disperse assembly"
"724","132","CrPC","Protection against prosecution for acts done under preceding sections"
"725","133","CrPC","Conditional order for removal of nuisance"
"726","134","CrPC","Service or notification of order"
"727","135","CrPC","Person to whom order is addressed to obey or show cause"
"728","136","CrPC","Consequences of his failing to do so"
"729","137","CrPC","Procedure where existence of public right is denied"
"730","138","CrPC","Procedure where he appears to show cause"
"731","139","CrPC","Power of Magistrate to direct local investigation and examination of an expert"
"732","140","CrPC","Power of Magistrate to furnish written instructions, etc."
"733","141","CrPC","Procedure on order being made absolute and consequences of disobedience"
"734","142","CrPC","Injunction pending inquiry"
"735","143","CrPC","Magistrate may prohibit repetition or continuance of public nuisance"
"736","144","CrPC","Power to issue order in urgent cases of nuisance or apprehended danger"
"737","144A ","CrPC","Power to prohibit carrying arms in procession or mass drill or mass training with arms"
"738","145","CrPC","Procedure where dispute concerning land or water is likely to cause breach of peace"
"739","146","CrPC","Power to attach subject of dispute and to appoint receiver"
"740","147","CrPC","Dispute concerning right of use of land or water"
"741","148","CrPC","Local inquiry"
"742","149","CrPC","Police to prevent cognizable offences"
"743","150","CrPC","Information of design to commit cognizable offences"
"744","151","CrPC","Arrest to prevent the commission of cognizable offences"
"745","152","CrPC","Prevention of injury to public property"
"746","153","CrPC","Inspection of weights and measures"
"747","154","CrPC","Information in cognizable cases"
"748","155","CrPC","Information as to non-cognizable cases and investigation of such cases"
"749","156","CrPC","Police officer's power to investigate cognizable cases"
"750","157","CrPC","Procedure for investigation"
"751","158","CrPC","Report how submitted"
"752","159","CrPC","Power to hold investigation or preliminary inquiry"
"753","160","CrPC","Police Officer's power to require attendance of witnesses []"
"754","161","CrPC","Examination of witnesses by police"
"755","162","CrPC","Statements to police not to be signed; Use of statements in evidence"
"756","163","CrPC","No inducement to be offered"
"757","164","CrPC","Recording of confessions and statements"
"758","164A ","CrPC","Medical examination of the victim of rape"
"759","165","CrPC","Search by police officer"
"760","166","CrPC","When officer in charge of police station may require another to issue search-warrant"
"761","166A ","CrPC","Letter of request to competent authority for investigation in a country or place outside India"
"762","166B ","CrPC","Letter of request from a country or place outside India to a Court or an authority for investigation in India"
"763","167","CrPC","Procedure when investigation cannot be completed in twenty-four hours"
"764","168","CrPC","Report of investigation by subordinate police officer"
"765","169","CrPC","Release of accused when evidence deficient"
"766","170","CrPC","Cases to be sent to Magistrate when evidence is sufficient"
"767","171","CrPC","Complainant and witnesses not to be required to accompany police officer and not to be subject to restraint"
"768","172","CrPC","Diary of proceeding in investigation"
"769","173","CrPC","Report of police officer on completion of investigation"
"770","174","CrPC","Police to inquire and report on suicide, etc."
"771","175","CrPC","Power to summon persons"
"772","176","CrPC","Inquiry by Magistrate into cause of death"
"773","177","CrPC","Ordinary place of inquiry and trial"
"774","178","CrPC","Place of inquiry or trial"
"775","179","CrPC","Offence triable where act is done or consequence ensues"
"776","180","CrPC","Place of trial where act is offence by reason of relation to other offence"
"777","181","CrPC","Place of trial in case of certain offences"
"778","182","CrPC","Offences committed by letters, etc"
"779","183","CrPC","Offence committed on journey or voyage"
"780","184","CrPC","Place of trial for offences triable together"
"781","185","CrPC","Power to order cases to be tried in different sessions divisions"
"782","186","CrPC","High Court to decide, in case of doubt, district where inquiry or trial shall take place"
"783","187","CrPC","Power to issue summons or warrant for offence committed beyond local jurisdiction"
"784","188","CrPC","Offence committed outside India"
"785","189","CrPC","Receipt of evidence relating to offences committed outside India"
"786","190","CrPC","Cognizance of offences by Magistrates"
"787","191","CrPC","Transfer on application of the accused"
"788","192","CrPC","Making over of cases to Magistrates"
"789","193","CrPC","Cognizance of offences by Courts of Session"
"790","194","CrPC","Additional and Assistant Sessions Judges to try cases made over to them"
"791","195","CrPC","Prosecution for contempt of lawful authority of public servants, for offences against public justice and for offences relating to documents given in evidence"
"792","196","CrPC","Prosecution for offences against the State and for criminal conspiracy to commit such offence"
"793","197","CrPC","Prosecution of Judges and public servants"
"794","198","CrPC","Prosecution for offences against marriage"
"795","198A ","CrPC","Prosecution of offences under section A of the Indian Penal Code"
"796","198B ","CrPC","Prosecution for defamation"
"797","199","CrPC","Examination of complainant"
"798","200","CrPC","Procedure by Magistrate not competent to take cognizance of the case"
"799","201","CrPC","Postponement of issue of process"
"800","202","CrPC","Dismissal of complaint"
"801","203","CrPC","Issue of process"
"802","204","CrPC","Magistrate may dispense with personal attendance of accused"
"803","205","CrPC","Special summons in cases of petty offence"
"804","206","CrPC","Supply to the accused of copy of police report and other documents"
"805","207","CrPC","Supply of copies of statements and documents to accused in other cases triable by Court of Session"
"806","208","CrPC","Commitment of case to Court of Session when offence is triable exclusively by it"
"807","209","CrPC","Procedure to be followed when there is a complaint case and police investigation in respect of the same offence"
"808","210","CrPC","Contents of charge"
"809","211","CrPC","Particulars as to time, place and person"
"810","212","CrPC","When manner of committing offence must be stated"
"811","213","CrPC","Words in charge taken in sense of law under which offence is punishable"
"812","214","CrPC","Effect of errors"
"813","215","CrPC","Court may alter charge"
"814","216","CrPC","Recall of witnesses when charge altered"
"815","217","CrPC","Separate charges for distinct offences"
"816","218","CrPC","Three offences of same kind within year may be charged together"
"817","219","CrPC","Trial for more than one offence"
"818","220","CrPC","Where it is doubtful what offence has been committed"
"819","221","CrPC","When offence proved included in offence charged"
"820","222","CrPC","What persons may be charged jointly"
"821","223","CrPC","Withdrawal of remaining charges on conviction on one of several charges"
"822","224","CrPC","Trial to be conducted by Public Prosecutor"
"823","225","CrPC","Opening case for prosecution"
"824","226","CrPC","Discharge"
"825","227","CrPC","Framing of charge"
"826","228","CrPC","Conviction on plea of guilty"
"827","229","CrPC","Date for prosecution evidence"
"828","230","CrPC","Evidence for prosecution"
"829","231","CrPC","Acquittal"
"830","232","CrPC","Entering upon defence"
"831","233","CrPC","Arguments"
"832","234","CrPC","Judgment of acquittal or conviction"
"833","235","CrPC","Previous conviction"
"834","236","CrPC","Procedure in cases instituted under section ()"
"835","237","CrPC","Compliance with section "
"836","238","CrPC","When accused shall be discharged"
"837","239","CrPC","Framing of charge"
"838","240","CrPC","Conviction on plea of guilty"
"839","241","CrPC","Evidence for prosecution"
"840","242","CrPC","Evidence for defence"
"841","243","CrPC","Evidence for prosecution"
"842","244","CrPC","When accused shall be discharged"
"843","245","CrPC","Procedure where accused is not discharged"
"844","246","CrPC","Evidence for defence"
"845","247","CrPC","Acquittal or conviction"
"846","248","CrPC","Absence of complainant"
"847","249","CrPC","Compensation for accusation without reasonable cause"
"848","250","CrPC","Substance of accusation to be stated"
"849","251","CrPC","Conviction on plea of guilty"
"850","252","CrPC","Conviction on plea of guilty in absence of accused in petty cases"
"851","253","CrPC","Procedure when not convicted"
"852","254","CrPC","Acquittal or conviction"
"853","255","CrPC","Non-appearance or death of complainant"
"854","256","CrPC","Withdrawal of complaint"
"855","257","CrPC","Power to stop proceedings in certain cases"
"856","258","CrPC","Power of Court to convert summons-cases into warrant cases"
"857","259","CrPC","Power to try summarily"
"858","260","CrPC","Summary trial by Magistrate of the second class"
"859","261","CrPC","Procedure for summary trials"
"860","262","CrPC","Record in summary trials"
"861","263","CrPC","Judgment in cases tried summarily"
"862","264","CrPC","Language of record and judgment"
"863","265","CrPC","Application of the Chapter"
"864","265A ","CrPC","Application for plea bargaining"
"865","265B ","CrPC","Guidelines for mutually satisfactory disposition"
"866","265C ","CrPC","Report of the mutually satisfactory disposition to be submitted before the Court"
"867","265D ","CrPC","Disposal of the case"
"868","265E ","CrPC","Judgment of the Court"
"869","265F ","CrPC","Finality of the judgment"
"870","265G ","CrPC","Power of the Court in plea bargaining"
"871","265H ","CrPC","Period of detention undergone by the accused to be set off against the sentence of imprisonment"
"872","265I ","CrPC","Savings"
"873","265J ","CrPC","Statements of accused not to be used"
"874","265K ","CrPC","Non-application of the Chapter"
"875","265L ","CrPC","Definitions"
"876","266","CrPC","Power to require attendance of prisoners"
"877","267","CrPC","Power of State Government to exclude certain persons from operation of section "
"878","268","CrPC","Officer in charge of prison to abstain from carrying out order in certain contingencies"
"879","269","CrPC","Prisoner to be brought to Court in custody"
"880","270","CrPC","Power to issue commission for examination of witness in prison"
"881","271","CrPC","Language of Courts"
"882","272","CrPC","Evidence to be taken in presence of accused"
"883","273","CrPC","Record in summons-cases and inquiries"
"884","274","CrPC","Record in warrant-cases"
"885","275","CrPC","Record in trial before Court of Session"
"886","276","CrPC","Language of record of evidence"
"887","277","CrPC","Procedure in regard to such evidence when completed"
"888","278","CrPC","Interpretation of evidence to accused or his pleader"
"889","279","CrPC","Remarks respecting demeanour of witness"
"890","280","CrPC","Record of examination of accused"
"891","281","CrPC","Interpreter to be bound to interpret truthfully"
"892","282","CrPC","Record in High Court"
"893","283","CrPC","When attendance of witness may be dispensed with and commission issued"
"894","284","CrPC","Commission to whom to be issued"
"895","285","CrPC","Execution of commissions"
"896","286","CrPC","Parties may examine witnesses"
"897","287","CrPC","Return of commission"
"898","288","CrPC","Adjournment of proceeding"
"899","289","CrPC","Execution of foreign commissions"
"900","290","CrPC","Deposition of medical witness"
"901","291","CrPC","Identification report of Magistrate"
"902","291A ","CrPC","Evidence of officers of the Mint"
"903","292","CrPC","Reports of certain Government scientific experts"
"904","293","CrPC","No formal proof of certain documents"
"905","294","CrPC","Affidavit in proof of conduct of public servants"
"906","295","CrPC","Evidence of formal character on affidavit"
"907","296","CrPC","Authorities before whom affidavits may be sworn"
"908","297","CrPC","Previous conviction of acquittal how proved"
"909","298","CrPC","Record of evidence in absence of accused"
"910","299","CrPC","Person once convicted or acquitted not to be tried for same offence"
"911","300","CrPC","Appearance by public prosecutors"
"912","301","CrPC","Permission to conduct prosecution"
"913","302","CrPC","Right of person against whom proceedings are instituted to be defended"
"914","303","CrPC","Legal aid to accused at State expense in certain cases"
"915","304","CrPC","Procedure when corporation or registered society is an accused"
"916","305","CrPC","Tender of pardon to accomplice"
"917","306","CrPC","Power to direct tender of pardon"
"918","307","CrPC","Trial of person not complying with conditions of pardon"
"919","308","CrPC","Power to postpone or adjourn proceedings"
"920","309","CrPC","Local inspection"
"921","310","CrPC","Power to summon material witness, or examine person present"
"922","311","CrPC","Power of Magistrate to order person to give specimen signature or handwriting"
"923","311A ","CrPC","Expenses of Complaints and Witnesses"
"924","312","CrPC","Power to examine the accused"
"925","313","CrPC","Oral arguments and memorandum of arguments"
"926","314","CrPC","Accused person to be competent witness"
"927","315","CrPC","No influence to be used to induce disclosure"
"928","316","CrPC","Provision for inquiries and trial being held in the absence of accused in certain cases"
"929","317","CrPC","Procedure where accused does not understand proceedings"
"930","318","CrPC","Power to proceed against other persons appearing to be guilty of offence"
"931","319","CrPC","Compounding of offences"
"932","320","CrPC","Withdrawal from prosecution"
"933","321","CrPC","Procedure in cases which Magistrate cannot dispose of"
"934","322","CrPC","Procedure when, after commencement of inquiry or trial, Magistrate finds case should be committed"
"935","323","CrPC","Trial of persons previously convicted of offences against coinage, stamp law or property"
"936","324","CrPC","Procedure when Magistrate can not pass sentence sufficiently severe"
"937","325","CrPC","Conviction or commitment on evidence partly recorded by one Magistrate and partly by another"
"938","326","CrPC","Court to be open"
"939","327","CrPC","Procedure in case of accused being lunatic"
"940","328","CrPC","Procedure in case of person of unsound mind tried before Court"
"941","329","CrPC","Release of lunatic pending investigation or trial"
"942","330","CrPC","Resumption of inquiry or trial"
"943","331","CrPC","Procedure on accused appearing before Magistrate or Court"
"944","332","CrPC","When accused appears to have been of sound mind"
"945","333","CrPC","Judgment of acquittal on ground of unsoundness of mind"
"946","334","CrPC","Person acquitted on such ground to be detained in safe custody"
"947","335","CrPC","Power of State Government to empower officer in charge to discharge"
"948","336","CrPC","Procedure where lunatic prisoner is reported capable of making his defence"
"949","337","CrPC","Procedure where lunatic detained is declared fit to be released"
"950","338","CrPC","Delivery of lunatic to care of relative or friend"
"951","339","CrPC","Procedure in cases mentioned in section "
"952","340","CrPC","Appeal"
"953","341","CrPC","Power to order Court"
"954","342","CrPC","Procedure of Magistrate taking cognizance"
"955","343","CrPC","Summary procedure for trial for giving false evidence"
"956","344","CrPC","Procedure in certain cases of contempt"
"957","345","CrPC","Procedure where Court considers that case should not be dealt with under section "
"958","346","CrPC","When Registrar or Sub-Registrar to be deemed a Civil Court"
"959","347","CrPC","Discharge of offender on submission of apology"
"960","348","CrPC","Imprisonment or committal of person refusing to answer or produce document"
"961","349","CrPC","Summary procedure for punishment for non-attendance by a witness in obedience to summons"
"962","350","CrPC","Appeals from convictions under sections , ,  and 0"
"963","351","CrPC","Certain Judges and Magistrates not to try certain offences when committed before themselves"
"964","352","CrPC","Judgment"
"965","353","CrPC","Language and contents of judgment"
"966","354","CrPC","Metropolitan Magistrate's Judgment"
"967","355","CrPC","Order for notifying address of previously convicted offender"
"968","356","CrPC","Order to pay compensation"
"969","357","CrPC","Compensation to persons groundlessly arrested"
"970","357A ","CrPC","Order to pay costs in non-cognizable cases"
"971","357B ","CrPC","Order to release on probation of good conduct or after admonition"
"972","357C ","CrPC","Special reasons to be recorded in certain cases"
"973","358","CrPC","Court not to alter judgment"
"974","359","CrPC","Copy of judgment to be given to the accused and other persons"
"975","360","CrPC","Judgment when to be translated"
"976","361","CrPC","Court of Session to send copy of finding and sentence to District Magistrate"
"977","362","CrPC","Sentence of death to be submitted by Court of Session for confirmation"
"978","363","CrPC","Power to direct further inquiry to be made or additional evidence to be taken"
"979","364","CrPC","Power of High Court to confirm sentence or annul conviction"
"980","365","CrPC","Confirmation or new sentence to be signed by two Judges"
"981","366","CrPC","Procedure in case of difference of opinion"
"982","367","CrPC","Procedure in cases submitted to High Court for confirmation"
"983","368","CrPC","No appeal to lie unless otherwise provided"
"984","369","CrPC","Appeal from orders requiring security or refusal to accept or rejecting surety for keeping peace or good behaviour"
"985","370","CrPC","Appeals from convictions"
"986","371","CrPC","No appeal in certain cases when accused pleads guilty"
"987","372","CrPC","No appeal in petty cases"
"988","373","CrPC","Appeal by the State Government against sentence"
"989","374","CrPC","Appeal in case of acquittal"
"990","375","CrPC","Appeal against conviction by High Court in certain cases"
"991","376","CrPC","Special right of appeal in certain cases"
"992","377","CrPC","Appeal to Court of Session how heard"
"993","378","CrPC","Petition of appeal"
"994","379","CrPC","Procedure when appellant in jail"
"995","380","CrPC","Summary dismissal of appeal"
"996","381","CrPC","Procedure for hearing appeals not dismissed summarily"
"997","382","CrPC","Powers of the Appellate Court"
"998","383","CrPC","Judgments of subordinate Appellate Court"
"999","384","CrPC","Order of High Court on appeal to be certified to lower Court"
"1000","385","CrPC","Suspension of sentence pending the appeal; release of appellant on bail"
"1001","386","CrPC","Arrest of accused in appeal from acquittal"
"1002","387","CrPC","Appellate Court may take further evidence or direct it to be taken"
"1003","388","CrPC","Procedure where Judges of Court of appeal are equally divided"
"1004","389","CrPC","Finality of judgments and orders on appeal"
"1005","390","CrPC","Abatement of appeals"
"1006","391","CrPC","Reference to High Court"
"1007","392","CrPC","Disposal of case according to decision of High Court"
"1008","393","CrPC","Calling for records to exercise powers of revision"
"1009","394","CrPC","Power to order inquiry"
"1010","395","CrPC","Sessions Judge's powers of revision"
"1011","396","CrPC","Power of Additional Sessions Judge"
"1012","397","CrPC","High Court's powers of revision"
"1013","398","CrPC","Power of High Court to withdraw or transfer revision cases"
"1014","399","CrPC","Option of Court to hear parties"
